Date,Description,Amount,Category
10 Feb,"10 Feb NEFT Inward 27,046.14 444,128.23",444128.23,Bank Transfer
11 Feb,"11 Feb UPI Transfer Received 23,400.09 467,528.32",467528.32,Bank Transfer
11 Feb,"11 Feb Freelance Payment 43,136.78 510,665.10",510665.1,Others
11 Feb,"11 Feb Freelance Payment 32,781.17 543,446.27",543446.27,Others
14 Feb,"14 Feb Interest Credit 24,539.24 567,985.51",567985.51,Others
15 Feb,"15 Feb UPI Payment 3,376.28 564,609.23",564609.23,Bank Transfer
15 Feb,"15 Feb Flight Ticket - IndiGo 5,377.54 559,231.69",559231.69,Others
15 Feb,"15 Feb Insurance Claim 34,981.28 594,212.97",594212.97,Others
16 Feb,"16 Feb Salary Credit 15,187.04 609,400.01",609400.01,Income
16 Feb,"16 Feb Mutual Fund SIP 10,889.68 598,510.33",598510.33,Others
16 Feb,"16 Feb Freelance Payment 29,416.79 627,927.12",627927.12,Others
17 Feb,"17 Feb NEFT Inward 25,637.51 653,564.63",653564.63,Bank Transfer
20 Feb,"20 Feb Rental Income 47,109.01 700,673.64",700673.64,Rent
21 Feb,"21 Feb Bill Payment - Electricity 890.86 699,782.78",699782.78,Utilities
22 Feb,"22 Feb Mutual Fund SIP 11,348.02 688,434.76",688434.76,Others
22 Feb,"22 Feb Mutual Fund SIP 4,164.76 684,270.00",684270.0,Others
22 Feb,"22 Feb Bonus Credit 20,091.40 704,361.40",704361.4,Others
23 Feb,"23 Feb Bill Payment - Electricity 18,587.46 685,773.94",685773.94,Utilities
23 Feb,"23 Feb Rental Income 31,247.38 717,021.32",717021.32,Rent
26 Feb,"26 Feb Mobile Recharge 2,735.89 714,285.43",714285.43,Utilities
28 Feb,"28 Feb Freelance Payment 8,308.47 722,593.90",722593.9,Others
29 Feb,"29 Feb UPI Payment 19,745.94 702,847.96",702847.96,Bank Transfer
29 Feb,"29 Feb Bill Payment - Water 11,136.59 691,711.37",691711.37,Utilities
01 Mar,"01 Mar Insurance Claim 44,540.78 736,252.15",736252.15,Others
02 Mar,"02 Mar Insurance Claim 30,439.08 766,691.23",766691.23,Others
03 Mar,"03 Mar Refund - Amazon 31,894.78 798,586.01",798586.01,Shopping
03 Mar,"03 Mar ATM Withdrawal 5,097.31 793,488.70",793488.7,Others
05 Mar,"05 Mar Mutual Fund SIP 977.33 792,511.37",792511.37,Others
05 Mar,"05 Mar EMI Debit 12,778.56 779,732.81",779732.81,Others
05 Mar,"05 Mar Insurance Claim 22,370.86 802,103.67",802103.67,Others
06 Mar,"06 Mar Netflix Subscription 2,326.29 799,777.38",799777.38,Others
06 Mar,"06 Mar Netflix Subscription 16,708.44 783,068.94",783068.94,Others
06 Mar,"06 Mar Refund - Flipkart 2,570.53 785,639.47",785639.47,Shopping
08 Mar,"08 Mar UPI Transfer Received 12,851.72 798,491.19",798491.19,Bank Transfer
08 Mar,"08 Mar Dividend Credit 28,214.23 826,705.42",826705.42,Others
09 Mar,"09 Mar Amazon Purchase 4,811.07 821,894.35",821894.35,Shopping
10 Mar,"10 Mar Mutual Fund SIP 593.25 821,301.10",821301.1,Others
11 Mar,"11 Mar Swiggy Order 17,294.87 804,006.23",804006.23,Food
11 Mar,"11 Mar UPI Transfer Received 39,475.04 843,481.27",843481.27,Bank Transfer
11 Mar,"11 Mar FD Maturity 2,416.87 845,898.14",845898.14,Others
12 Mar,"12 Mar Refund - Flipkart 45,963.37 891,861.51",891861.51,Shopping
13 Mar,"13 Mar Swiggy Order 17,439.33 874,422.18",874422.18,Food
13 Mar,"13 Mar Refund - Flipkart 10,059.92 884,482.10",884482.1,Shopping
14 Mar,"14 Mar EMI Debit 19,341.09 865,141.01",865141.01,Others
14 Mar,"14 Mar Bonus Credit 25,715.58 890,856.59",890856.59,Others
15 Mar,"15 Mar EMI Debit 2,395.30 888,461.29",888461.29,Others
15 Mar,"15 Mar Refund - Amazon 48,145.45 936,606.74",936606.74,Shopping
18 Mar,"18 Mar Dividend Credit 39,428.19 976,034.93",976034.93,Others
18 Mar,"18 Mar Fuel - HPCL 10,277.32 965,757.61",965757.61,Travel
18 Mar,"18 Mar ATM Withdrawal 3,882.57 961,875.04",961875.04,Others
19 Mar,"19 Mar Freelance Payment 46,315.97 1,008,191.01",1008191.01,Others
19 Mar,"19 Mar Grocery - BigBasket 18,811.24 989,379.77",989379.77,Others
19 Mar,"19 Mar Bonus Credit 3,963.70 993,343.47",993343.47,Others
20 Mar,"20 Mar Bill Payment - Water 13,301.41 980,042.06",980042.06,Utilities
20 Mar,"20 Mar Insurance Premium 6,076.41 973,965.65",973965.65,Others
21 Mar,"21 Mar Freelance Payment 35,011.82 1,008,977.47",1008977.47,Others
21 Mar,"21 Mar Dividend Credit 21,312.09 1,030,289.56",1030289.56,Others
21 Mar,"21 Mar Insurance Premium 18,065.83 1,012,223.73",1012223.73,Others
22 Mar,"22 Mar Insurance Premium 108.08 1,012,115.65",1012115.65,Others
22 Mar,"22 Mar Rental Income 39,395.06 1,051,510.71",1051510.71,Rent
22 Mar,"22 Mar Flight Ticket - IndiGo 9,353.26 1,042,157.45",1042157.45,Others
23 Mar,"23 Mar Amazon Purchase 15,895.33 1,026,262.12",1026262.12,Shopping
25 Mar,"25 Mar Mutual Fund SIP 12,695.52 1,013,566.60",1013566.6,Others
25 Mar,"25 Mar Interest Credit 47,623.98 1,061,190.58",1061190.58,Others
26 Mar,"26 Mar Salary Credit 10,356.93 1,071,547.51",1071547.51,Income
26 Mar,"26 Mar Rental Income 49,204.83 1,120,752.34",1120752.34,Rent
28 Mar,"28 Mar Interest Credit 31,673.39 1,152,425.73",1152425.73,Others
28 Mar,"28 Mar Fuel - HPCL 7,741.17 1,144,684.56",1144684.56,Travel
28 Mar,"28 Mar Salary Credit 32,974.87 1,177,659.43",1177659.43,Income
30 Mar,"30 Mar Insurance Claim 40,303.44 1,217,962.87",1217962.87,Others
30 Mar,"30 Mar Swiggy Order 1,099.35 1,216,863.52",1216863.52,Food
30 Mar,"30 Mar Netflix Subscription 2,515.04 1,214,348.48",1214348.48,Others
31 Mar,"31 Mar Mutual Fund SIP 19,759.06 1,194,589.42",1194589.42,Others
31 Mar,"31 Mar Medical - Pharmacy 17,839.38 1,176,750.04",1176750.04,Others
31 Mar,"31 Mar Amazon Purchase 11,002.65 1,165,747.39",1165747.39,Shopping
01 Apr,"01 Apr EMI Debit 15,060.36 1,150,687.03",1150687.03,Others
01 Apr,"01 Apr Swiggy Order 10,473.87 1,140,213.16",1140213.16,Food
01 Apr,"01 Apr Refund - Amazon 4,335.43 1,144,548.59",1144548.59,Shopping
02 Apr,"02 Apr Freelance Payment 16,325.62 1,160,874.21",1160874.21,Others
04 Apr,"04 Apr NEFT Inward 19,460.25 1,180,334.46",1180334.46,Bank Transfer
05 Apr,"05 Apr Freelance Payment 20,676.17 1,201,010.63",1201010.63,Others
06 Apr,"06 Apr Dividend Credit 10,738.30 1,211,748.93",1211748.93,Others
06 Apr,"06 Apr Insurance Claim 38,604.89 1,250,353.82",1250353.82,Others
06 Apr,"06 Apr Rental Income 44,092.51 1,294,446.33",1294446.33,Rent
07 Apr,"07 Apr Insurance Premium 18,860.56 1,275,585.77",1275585.77,Others
07 Apr,"07 Apr Medical - Pharmacy 17,083.61 1,258,502.16",1258502.16,Others
07 Apr,"07 Apr Swiggy Order 14,719.22 1,243,782.94",1243782.94,Food
08 Apr,"08 Apr Salary Credit 22,073.88 1,265,856.82",1265856.82,Income
08 Apr,"08 Apr Dividend Credit 33,609.24 1,299,466.06",1299466.06,Others
08 Apr,"08 Apr Netflix Subscription 16,826.06 1,282,640.00",1282640.0,Others
10 Apr,"10 Apr Bill Payment - Electricity 13,293.70 1,269,346.30",1269346.3,Utilities
10 Apr,"10 Apr Flight Ticket - IndiGo 2,800.42 1,266,545.88",1266545.88,Others
10 Apr,"10 Apr Refund - Flipkart 13,377.74 1,279,923.62",1279923.62,Shopping
11 Apr,"11 Apr Fuel - HPCL 6,816.26 1,273,107.36",1273107.36,Travel
12 Apr,"12 Apr EMI Debit 16,655.29 1,256,452.07",1256452.07,Others
12 Apr,"12 Apr ATM Withdrawal 9,459.11 1,246,992.96",1246992.96,Others
13 Apr,"13 Apr Bonus Credit 3,896.61 1,250,889.57",1250889.57,Others
13 Apr,"13 Apr Interest Credit 2,035.98 1,252,925.55",1252925.55,Others
14 Apr,"14 Apr Swiggy Order 12,464.58 1,240,460.97",1240460.97,Food
15 Apr,"15 Apr Grocery - BigBasket 2,376.35 1,238,084.62",1238084.62,Others
16 Apr,"16 Apr Amazon Purchase 15,361.27 1,222,723.35",1222723.35,Shopping
16 Apr,"16 Apr Bill Payment - Water 19,278.32 1,203,445.03",1203445.03,Utilities
16 Apr,"16 Apr Insurance Premium 3,358.94 1,200,086.09",1200086.09,Others
19 Apr,"19 Apr Fuel - HPCL 18,169.72 1,181,916.37",1181916.37,Travel
19 Apr,"19 Apr UPI Transfer Received 35,893.23 1,217,809.60",1217809.6,Bank Transfer
20 Apr,"20 Apr Bonus Credit 38,737.80 1,256,547.40",1256547.4,Others
23 Apr,"23 Apr Bill Payment - Electricity 13,264.27 1,243,283.13",1243283.13,Utilities
23 Apr,"23 Apr Medical - Pharmacy 6,890.50 1,236,392.63",1236392.63,Others
24 Apr,"24 Apr Bonus Credit 48,058.98 1,284,451.61",1284451.61,Others
24 Apr,"24 Apr Netflix Subscription 9,248.81 1,275,202.80",1275202.8,Others
24 Apr,"24 Apr Bonus Credit 36,822.87 1,312,025.67",1312025.67,Others
25 Apr,"25 Apr Hotel Booking 18,400.39 1,293,625.28",1293625.28,Others
25 Apr,"25 Apr EMI Debit 16,532.12 1,277,093.16",1277093.16,Others
26 Apr,"26 Apr Bill Payment - Electricity 16,631.55 1,260,461.61",1260461.61,Utilities
26 Apr,"26 Apr FD Maturity 22,814.70 1,283,276.31",1283276.31,Others
27 Apr,"27 Apr Refund - Flipkart 24,968.17 1,308,244.48",1308244.48,Shopping
27 Apr,"27 Apr Refund - Amazon 10,999.93 1,319,244.41",1319244.41,Shopping
27 Apr,"27 Apr Insurance Claim 44,075.84 1,363,320.25",1363320.25,Others
28 Apr,"28 Apr Grocery - BigBasket 10,380.88 1,352,939.37",1352939.37,Others
28 Apr,"28 Apr FD Maturity 36,143.70 1,389,083.07",1389083.07,Others
29 Apr,"29 Apr Hotel Booking 12,953.47 1,376,129.60",1376129.6,Others
30 Apr,"30 Apr Swiggy Order 1,951.76 1,374,177.84",1374177.84,Food
30 Apr,"30 Apr Bonus Credit 12,543.61 1,386,721.45",1386721.45,Others
30 Apr,"30 Apr Mobile Recharge 9,517.88 1,377,203.57",1377203.57,Utilities
01 May,"01 May Mobile Recharge 11,052.73 1,366,150.84",1366150.84,Utilities
01 May,"01 May EMI Debit 5,491.24 1,360,659.60",1360659.6,Others
01 May,"01 May Refund - Flipkart 36,203.57 1,396,863.17",1396863.17,Shopping
03 May,"03 May Refund - Amazon 37,060.93 1,433,924.10",1433924.1,Shopping
04 May,"04 May Insurance Premium 16,669.30 1,417,254.80",1417254.8,Others
04 May,"04 May Salary Credit 9,382.36 1,426,637.16",1426637.16,Income
05 May,"05 May Freelance Payment 48,727.60 1,475,364.76",1475364.76,Others
06 May,"06 May Hotel Booking 2,612.96 1,472,751.80",1472751.8,Others
06 May,"06 May Refund - Amazon 1,107.14 1,473,858.94",1473858.94,Shopping
07 May,"07 May ATM Withdrawal 6,880.05 1,466,978.89",1466978.89,Others
07 May,"07 May UPI Transfer Received 43,155.29 1,510,134.18",1510134.18,Bank Transfer
07 May,"07 May Bill Payment - Electricity 8,074.08 1,502,060.10",1502060.1,Utilities
09 May,"09 May Refund - Amazon 28,360.56 1,530,420.66",1530420.66,Shopping
11 May,"11 May Rental Income 38,339.95 1,568,760.61",1568760.61,Rent
12 May,"12 May Flight Ticket - IndiGo 7,669.52 1,561,091.09",1561091.09,Others
13 May,"13 May Insurance Premium 19,801.62 1,541,289.47",1541289.47,Others
13 May,"13 May Bill Payment - Water 1,298.58 1,539,990.89",1539990.89,Utilities
14 May,"14 May Bill Payment - Electricity 5,366.46 1,534,624.43",1534624.43,Utilities
15 May,"15 May NEFT Inward 27,823.62 1,562,448.05",1562448.05,Bank Transfer
17 May,"17 May Insurance Premium 11,916.84 1,550,531.21",1550531.21,Others
17 May,"17 May Refund - Amazon 14,761.19 1,565,292.40",1565292.4,Shopping
17 May,"17 May Swiggy Order 9,135.22 1,556,157.18",1556157.18,Food
18 May,"18 May Grocery - BigBasket 12,538.65 1,543,618.53",1543618.53,Others
18 May,"18 May Bonus Credit 27,455.84 1,571,074.37",1571074.37,Others
19 May,"19 May Bill Payment - Electricity 16,549.96 1,554,524.41",1554524.41,Utilities
21 May,"21 May Insurance Premium 11,941.38 1,542,583.03",1542583.03,Others
22 May,"22 May Insurance Claim 34,589.56 1,577,172.59",1577172.59,Others
22 May,"22 May Freelance Payment 13,976.19 1,591,148.78",1591148.78,Others
22 May,"22 May ATM Withdrawal 1,700.79 1,589,447.99",1589447.99,Others
23 May,"23 May UPI Payment 12,113.90 1,577,334.09",1577334.09,Bank Transfer
23 May,"23 May Rental Income 48,114.60 1,625,448.69",1625448.69,Rent
23 May,"23 May EMI Debit 512.83 1,624,935.86",1624935.86,Others
25 May,"25 May EMI Debit 13,065.04 1,611,870.82",1611870.82,Others
26 May,"26 May Hotel Booking 8,774.11 1,603,096.71",1603096.71,Others
28 May,"28 May Bonus Credit 16,998.77 1,620,095.48",1620095.48,Others
28 May,"28 May Dividend Credit 8,460.83 1,628,556.31",1628556.31,Others
28 May,"28 May Fuel - HPCL 5,835.53 1,622,720.78",1622720.78,Travel
30 May,"30 May UPI Transfer Received 12,993.74 1,635,714.52",1635714.52,Bank Transfer
30 May,"30 May UPI Payment 8,143.08 1,627,571.44",1627571.44,Bank Transfer
30 May,"30 May Medical - Pharmacy 10,897.61 1,616,673.83",1616673.83,Others
01 Jun,"01 Jun Hotel Booking 12,490.41 1,604,183.42",1604183.42,Others
02 Jun,"02 Jun Netflix Subscription 4,150.81 1,600,032.61",1600032.61,Others
02 Jun,"02 Jun Hotel Booking 8,818.51 1,591,214.10",1591214.1,Others
02 Jun,"02 Jun Rental Income 48,670.77 1,639,884.87",1639884.87,Rent
03 Jun,"03 Jun UPI Payment 6,283.93 1,633,600.94",1633600.94,Bank Transfer
04 Jun,"04 Jun UPI Transfer Received 49,616.73 1,683,217.67",1683217.67,Bank Transfer
04 Jun,"04 Jun Netflix Subscription 2,437.58 1,680,780.09",1680780.09,Others
04 Jun,"04 Jun EMI Debit 14,360.41 1,666,419.68",1666419.68,Others
05 Jun,"05 Jun Swiggy Order 19,606.87 1,646,812.81",1646812.81,Food
05 Jun,"05 Jun Grocery - BigBasket 2,978.38 1,643,834.43",1643834.43,Others
05 Jun,"05 Jun Netflix Subscription 10,213.99 1,633,620.44",1633620.44,Others
07 Jun,"07 Jun Mutual Fund SIP 17,102.81 1,616,517.63",1616517.63,Others
07 Jun,"07 Jun UPI Payment 10,203.98 1,606,313.65",1606313.65,Bank Transfer
08 Jun,"08 Jun Hotel Booking 16,765.77 1,589,547.88",1589547.88,Others
08 Jun,"08 Jun Hotel Booking 8,986.29 1,580,561.59",1580561.59,Others
09 Jun,"09 Jun Dividend Credit 38,262.20 1,618,823.79",1618823.79,Others
09 Jun,"09 Jun Grocery - BigBasket 6,503.37 1,612,320.42",1612320.42,Others
10 Jun,"10 Jun Medical - Pharmacy 4,747.89 1,607,572.53",1607572.53,Others
12 Jun,"12 Jun Fuel - HPCL 14,134.03 1,593,438.50",1593438.5,Travel
12 Jun,"12 Jun Bonus Credit 33,352.60 1,626,791.10",1626791.1,Others
13 Jun,"13 Jun Mutual Fund SIP 836.69 1,625,954.41",1625954.41,Others
15 Jun,"15 Jun Salary Credit 45,566.86 1,671,521.27",1671521.27,Income
15 Jun,"15 Jun Netflix Subscription 8,258.57 1,663,262.70",1663262.7,Others
15 Jun,"15 Jun Refund - Amazon 39,185.50 1,702,448.20",1702448.2,Shopping
16 Jun,"16 Jun Bill Payment - Electricity 8,009.92 1,694,438.28",1694438.28,Utilities
16 Jun,"16 Jun Fuel - HPCL 17,061.59 1,677,376.69",1677376.69,Travel
17 Jun,"17 Jun Hotel Booking 17,760.03 1,659,616.66",1659616.66,Others
17 Jun,"17 Jun Bill Payment - Electricity 814.39 1,658,802.27",1658802.27,Utilities
18 Jun,"18 Jun Swiggy Order 18,426.49 1,640,375.78",1640375.78,Food
20 Jun,"20 Jun Bill Payment - Water 15,231.36 1,625,144.42",1625144.42,Utilities
20 Jun,"20 Jun Salary Credit 34,853.06 1,659,997.48",1659997.48,Income
20 Jun,"20 Jun Refund - Amazon 39,909.10 1,699,906.58",1699906.58,Shopping
21 Jun,"21 Jun Freelance Payment 7,705.70 1,707,612.28",1707612.28,Others
21 Jun,"21 Jun NEFT Inward 34,249.12 1,741,861.40",1741861.4,Bank Transfer
22 Jun,"22 Jun Dividend Credit 30,669.84 1,772,531.24",1772531.24,Others
23 Jun,"23 Jun Swiggy Order 11,704.83 1,760,826.41",1760826.41,Food
24 Jun,"24 Jun UPI Payment 9,245.45 1,751,580.96",1751580.96,Bank Transfer
24 Jun,"24 Jun Insurance Premium 9,358.54 1,742,222.42",1742222.42,Others
24 Jun,"24 Jun Flight Ticket - IndiGo 3,243.71 1,738,978.71",1738978.71,Others
25 Jun,"25 Jun Medical - Pharmacy 6,053.17 1,732,925.54",1732925.54,Others
25 Jun,"25 Jun Insurance Premium 9,191.03 1,723,734.51",1723734.51,Others
26 Jun,"26 Jun Bill Payment - Water 17,081.38 1,706,653.13",1706653.13,Utilities
27 Jun,"27 Jun Refund - Amazon 18,268.48 1,724,921.61",1724921.61,Shopping
28 Jun,"28 Jun Dividend Credit 41,586.86 1,766,508.47",1766508.47,Others
28 Jun,"28 Jun Bonus Credit 28,513.49 1,795,021.96",1795021.96,Others
30 Jun,"30 Jun Swiggy Order 18,068.40 1,776,953.56",1776953.56,Food
30 Jun,"30 Jun Grocery - BigBasket 7,111.19 1,769,842.37",1769842.37,Others
30 Jun,"30 Jun Netflix Subscription 13,587.51 1,756,254.86",1756254.86,Others
03 Jul,"03 Jul Mobile Recharge 763.95 1,755,490.91",1755490.91,Utilities
03 Jul,"03 Jul Insurance Premium 1,893.65 1,753,597.26",1753597.26,Others
04 Jul,"04 Jul Netflix Subscription 3,595.24 1,750,002.02",1750002.02,Others
04 Jul,"04 Jul Mobile Recharge 17,541.57 1,732,460.45",1732460.45,Utilities
05 Jul,"05 Jul Hotel Booking 5,213.70 1,727,246.75",1727246.75,Others
05 Jul,"05 Jul Mutual Fund SIP 5,973.31 1,721,273.44",1721273.44,Others
07 Jul,"07 Jul Swiggy Order 2,901.06 1,718,372.38",1718372.38,Food
07 Jul,"07 Jul Fuel - HPCL 14,511.91 1,703,860.47",1703860.47,Travel
07 Jul,"07 Jul Mobile Recharge 16,111.29 1,687,749.18",1687749.18,Utilities
09 Jul,"09 Jul FD Maturity 27,060.33 1,714,809.51",1714809.51,Others
09 Jul,"09 Jul Refund - Amazon 37,576.07 1,752,385.58",1752385.58,Shopping
09 Jul,"09 Jul Mobile Recharge 16,466.10 1,735,919.48",1735919.48,Utilities
11 Jul,"11 Jul Mutual Fund SIP 12,428.98 1,723,490.50",1723490.5,Others
12 Jul,"12 Jul Flight Ticket - IndiGo 12,744.54 1,710,745.96",1710745.96,Others
13 Jul,"13 Jul ATM Withdrawal 2,421.85 1,708,324.11",1708324.11,Others
13 Jul,"13 Jul Hotel Booking 6,156.86 1,702,167.25",1702167.25,Others
16 Jul,"16 Jul Flight Ticket - IndiGo 2,799.71 1,699,367.54",1699367.54,Others
17 Jul,"17 Jul Medical - Pharmacy 14,888.49 1,684,479.05",1684479.05,Others
17 Jul,"17 Jul Medical - Pharmacy 14,559.32 1,669,919.73",1669919.73,Others
19 Jul,"19 Jul EMI Debit 18,787.16 1,651,132.57",1651132.57,Others
19 Jul,"19 Jul FD Maturity 18,841.23 1,669,973.80",1669973.8,Others
19 Jul,"19 Jul Refund - Flipkart 12,187.58 1,682,161.38",1682161.38,Shopping
21 Jul,"21 Jul Mobile Recharge 19,559.07 1,662,602.31",1662602.31,Utilities
21 Jul,"21 Jul UPI Transfer Received 14,156.13 1,676,758.44",1676758.44,Bank Transfer
22 Jul,"22 Jul Bonus Credit 10,999.24 1,687,757.68",1687757.68,Others
22 Jul,"22 Jul Mutual Fund SIP 525.01 1,687,232.67",1687232.67,Others
22 Jul,"22 Jul Rental Income 6,733.23 1,693,965.90",1693965.9,Rent
23 Jul,"23 Jul Interest Credit 38,375.29 1,732,341.19",1732341.19,Others
24 Jul,"24 Jul Netflix Subscription 4,736.67 1,727,604.52",1727604.52,Others
26 Jul,"26 Jul Netflix Subscription 2,979.29 1,724,625.23",1724625.23,Others
26 Jul,"26 Jul Bill Payment - Water 15,990.43 1,708,634.80",1708634.8,Utilities
28 Jul,"28 Jul Interest Credit 39,604.24 1,748,239.04",1748239.04,Others
29 Jul,"29 Jul NEFT Inward 13,635.69 1,761,874.73",1761874.73,Bank Transfer
29 Jul,"29 Jul Bill Payment - Electricity 10,569.10 1,751,305.63",1751305.63,Utilities
30 Jul,"30 Jul Rental Income 18,420.93 1,769,726.56",1769726.56,Rent
30 Jul,"30 Jul Rental Income 25,440.02 1,795,166.58",1795166.58,Rent
30 Jul,"30 Jul Bonus Credit 39,269.74 1,834,436.32",1834436.32,Others
31 Jul,"31 Jul ATM Withdrawal 19,284.12 1,815,152.20",1815152.2,Others
31 Jul,"31 Jul Medical - Pharmacy 16,961.24 1,798,190.96",1798190.96,Others
02 Aug,"02 Aug Bill Payment - Electricity 8,926.89 1,789,264.07",1789264.07,Utilities
02 Aug,"02 Aug NEFT Inward 7,842.52 1,797,106.59",1797106.59,Bank Transfer
02 Aug,"02 Aug Freelance Payment 31,837.30 1,828,943.89",1828943.89,Others
03 Aug,"03 Aug Refund - Amazon 30,070.90 1,859,014.79",1859014.79,Shopping
03 Aug,"03 Aug Bill Payment - Water 12,147.99 1,846,866.80",1846866.8,Utilities
05 Aug,"05 Aug Dividend Credit 44,460.51 1,891,327.31",1891327.31,Others
06 Aug,"06 Aug Bill Payment - Water 8,034.73 1,883,292.58",1883292.58,Utilities
06 Aug,"06 Aug Refund - Amazon 15,969.92 1,899,262.50",1899262.5,Shopping
07 Aug,"07 Aug Hotel Booking 13,767.74 1,885,494.76",1885494.76,Others
07 Aug,"07 Aug UPI Transfer Received 41,672.71 1,927,167.47",1927167.47,Bank Transfer
08 Aug,"08 Aug NEFT Inward 37,070.40 1,964,237.87",1964237.87,Bank Transfer
